,protocol_type,service,flag,wrong_fragment,logged_in,num_outbound_cmds,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack,attack_occur,attack_class
0,1,45,1,0.0,0.0,0.0,0.8962818003913894,0.0,0.0,2.0,2.0,0.08,0.12,0.0,2.0,0.0784313725490196,0.08,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
1,1,45,1,0.0,0.0,0.0,0.5322896281800391,0.0,0.0,2.0,2.0,0.02,0.12,0.0,2.0,0.00784313725490196,0.0,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
2,1,19,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0509803921568628,0.6745098039215687,1.22,0.08,1.22,0.04,0.0,0.0,0.0,0.0,16,0,1
3,0,13,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.023529411764705882,0.44705882352941173,2.0,0.0,2.0,0.56,0.0,0.0,0.0,0.0,24,1,2
4,1,55,2,0.0,0.0,0.0,0.003913894324853229,0.0,0.24,2.0,1.0,2.0,0.0,1.5,0.22745098039215686,0.6745098039215687,0.62,0.34,0.06,0.04,0.0,0.0,1.66,1.42,11,1,2
5,1,22,9,0.0,2.0,0.0,0.015655577299412915,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2156862745098038,2.0,2.0,0.0,0.02,0.06,0.02,0.0,0.0,0.0,16,0,1
6,1,49,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.2196078431372549,0.22,1.44,0.0,0.0,0.0,0.0,1.44,0.08,16,0,1
7,1,55,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.02,0.02,0.04,0.04,4,1,3
8,1,22,9,0.0,2.0,0.0,0.12915851272015655,0.0,0.0,0.0,0.0,2.0,0.0,0.08,1.184313725490196,2.0,2.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,16,0,1
9,1,18,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.40784313725490196,0.20392156862745098,1.0,0.16,0.04,0.0,0.0,0.0,0.0,0.0,4,1,3
