,attack_occur
91756,1
1311,0
15809,1
60900,0
7766,0
121879,1
4830,0
46927,1
33121,1
54753,0
60341,1
92765,1
111426,1
83108,0
86214,0
19603,0
87184,1
18673,1
18305,0
13226,0
8611,1
15424,0
16733,1
104340,0
49309,1
99793,0
15201,1
65708,1
14082,1
117968,1
129,0
50074,0
68878,1
115806,0
30676,1
12392,0
124188,0
97269,1
90993,1
4784,0
22592,0
93721,1
5351,1
37284,0
111294,0
97232,1
36798,0
9635,0
92316,0
15359,1
47879,1
10158,0
34159,0
23418,1
116608,0
42350,1
60260,1
46676,1
78493,1
58948,1
22487,1
31178,1
82157,0
80982,1
85375,0
119320,0
122282,0
46407,0
123764,0
106846,0
5733,1
42119,0
1531,1
41479,1
116933,1
36001,0
12857,1
52870,1
30391,0
94271,0
118099,0
121547,1
31725,0
53037,1
43210,0
41384,1
42987,0
33698,1
1184,1
42472,0
8615,1
124930,0
106052,1
69839,0
92082,0
653,0
122691,1
99137,1
18074,1
110196,0
6439,0
15349,0
71561,1
27295,1
93897,0
124538,0
11255,0
60817,1
12304,1
44300,0
2745,1
11808,0
7709,0
100636,0
6509,0
79130,1
82241,1
23293,0
92363,0
94287,1
13446,1
93402,0
63098,0
73530,0
33703,0
5564,0
81828,0
123697,1
108243,1
75303,1
14488,1
44004,0
25607,1
108252,0
21067,1
88387,1
39984,0
93456,1
5706,1
77174,0
5,1
14130,1
1926,1
21833,0
7086,1
53903,1
57132,0
13867,1
28095,1
57657,0
28914,0
106348,1
3267,1
1453,1
118635,0
20366,0
79703,0
52036,0
105967,0
26895,1
5943,0
35343,0
109799,0
13601,0
35738,1
21585,1
6946,1
84472,0
116523,0
115926,0
11542,1
115995,0
36340,1
29946,0
92220,0
57222,1
8075,1
53748,0
114715,0
109584,1
19886,1
1879,0
87396,0
14034,1
14282,1
110887,1
11010,1
8408,0
3851,1
18235,0
5174,1
4311,0
71764,0
47943,1
121673,1
21627,0
106502,1
27274,0
73609,0
76515,1
114010,0
101890,0
43965,0
13113,0
64377,1
16350,0
39187,0
5717,0
16913,1
15692,1
20055,1
22026,1
51368,0
20708,0
35595,0
124590,0
121490,1
44664,0
18870,0
18794,1
44755,1
8158,0
69087,1
1018,0
53448,1
104943,0
17053,0
87930,0
34447,0
9206,1
80961,1
8628,1
2514,1
119990,0
114478,0
120601,1
13910,1
53120,1
47733,0
4323,0
57743,0
123634,1
20932,0
55649,0
106884,0
2676,1
111784,0
72859,0
5739,1
88863,0
5495,0
48979,0
4303,1
78018,0
118628,0
26910,1
11903,1
6562,0
39020,0
19647,1
33745,0
29950,1
89302,0
7220,1
100038,1
59179,0
80059,0
119154,0
34960,1
5709,1
82880,0
19130,0
80843,1
8687,1
6309,0
42902,0
120703,0
10539,1
91061,1
87142,0
41873,0
19516,0
14748,0
7811,1
4838,0
8867,1
52735,1
23840,1
82475,0
1964,1
87779,1
20139,0
72205,1
53576,0
12029,0
56693,0
48234,1
79285,0
86451,1
47342,0
122220,0
51432,0
83527,1
124372,0
71472,1
123133,0
32296,0
40580,1
18155,1
117387,1
60210,0
37647,0
