,attack_class
66307,1
19782,0
130151,0
81462,0
102565,0
115863,0
125787,0
134881,0
112900,0
131716,0
114735,0
109696,1
37819,0
42232,1
75577,0
36873,0
140085,2
37844,0
78513,0
49741,0
87929,1
103618,0
36062,0
71514,0
124023,0
10295,1
126564,3
120607,0
137856,0
70626,0
95217,1
136546,1
128307,2
27556,0
134187,2
79370,0
59958,0
83777,0
129120,2
16685,0
35942,0
96266,0
119713,0
101721,1
140118,0
103804,1
58811,0
32724,1
122515,1
90494,0
8154,0
4376,0
30344,0
53276,0
39425,0
56448,1
84514,0
85381,0
14586,0
119570,0
136258,1
134683,1
121345,0
61195,0
132740,1
4532,1
25008,0
142071,0
142278,2
137728,0
101420,0
144898,0
53426,0
61233,0
49488,0
54306,0
92776,0
29095,0
128698,0
63738,1
36039,0
128185,2
59585,0
28510,0
50184,0
56520,0
144914,0
13506,0
94520,0
131394,2
92047,0
142884,1
128943,2
73073,0
126312,1
8502,0
141909,0
94068,0
125269,0
33100,0
93680,0
75912,0
28920,1
93491,0
94964,0
45302,0
73042,0
58195,0
147423,1
69491,1
9311,0
77545,1
65396,2
13511,0
54839,0
55985,0
91479,1
128612,1
126123,2
90056,0
52774,0
82926,0
100864,0
89790,0
7239,0
129918,0
14560,0
112562,0
145297,0
82069,1
123670,0
32538,0
17027,0
47778,0
114312,1
3053,1
14448,0
70255,0
67089,0
133545,0
137279,0
142888,1
98363,1
138217,2
135279,0
92458,0
62663,0
65299,0
67449,0
99651,0
122497,1
23067,1
86020,1
136770,0
126130,0
81585,0
10487,1
139262,2
2298,0
81441,0
115757,1
130926,1
53972,0
109541,0
71515,0
30387,0
73083,0
140741,2
29025,0
63472,0
55402,0
128372,0
67959,2
60427,0
69621,0
18996,0
89123,0
30306,0
62638,0
146972,2
13057,0
53447,0
113867,0
89735,0
95058,0
12297,0
99046,0
41587,0
143581,0
60342,0
133195,0
88166,0
11422,0
2510,0
56192,0
81246,1
121923,1
135886,0
94344,1
50159,0
82358,0
94237,0
34723,0
29130,2
85545,0
109795,0
90267,0
1034,0
124347,0
46709,0
6906,0
105306,0
115550,0
74166,0
14885,0
19096,0
8013,1
35967,0
41729,0
55913,0
35560,0
134799,2
131305,0
78745,0
146017,0
23596,1
148266,0
73942,0
54167,1
142097,1
135748,2
85715,0
118352,0
146684,0
73984,1
146117,0
96438,0
120846,0
118505,0
91686,0
127836,0
137023,0
34819,0
89579,0
9081,1
50111,0
59059,0
124943,1
134708,1
13930,0
23204,1
88525,0
99701,0
110604,0
127248,0
28896,1
42046,1
32387,0
57378,0
104149,0
6900,1
102334,0
85055,0
138971,0
118434,0
122354,0
67767,0
80192,0
129831,0
102587,0
101956,1
28923,0
125717,0
82838,0
122030,0
31435,1
4115,0
141410,2
23265,0
33742,2
78027,0
80496,0
70572,0
23937,0
4969,2
78936,0
109217,0
32326,0
17884,1
103915,0
118615,0
54295,0
114846,0
47130,1
109354,1
138837,1
72253,0
50467,0
214,0
52128,0
20203,0
28309,1
13353,0
134705,1
72280,0
136139,2
72669,0
62270,0
34201,0
116063,1
113628,1
83110,0
108541,0
6432,0
98090,0
34926,0
85424,0
42391,1
1722,0
127969,0
120170,0
6704,1
18172,0
39366,0
124873,0
45986,0
128683,0
130719,0
110185,0
57839,0
75868,0
61571,1
130662,2
77307,0
138242,1
146520,0
64906,0
69482,0
138049,0
25021,0
104232,1
16093,0
14669,0
95787,0
117769,0
89458,0
51077,0
120839,0
46302,0
52170,0
45183,0
94660,1
119545,0
132278,0
2738,0
128522,2
129579,0
10777,0
32126,0
13988,0
112009,0
49698,0
23194,0
