,attack
130793,24
134141,20
97984,14
141491,14
2167,14
87794,14
38189,14
18372,14
25341,14
59883,24
50471,14
20045,14
126664,26
143074,28
94274,14
133980,26
125370,14
8865,26
107268,14
148056,34
132138,14
95534,14
141741,11
125050,14
60689,14
21412,14
46975,19
143940,11
91049,14
129844,26
146228,5
43027,14
78210,14
129581,14
68655,19
40893,1
63811,14
82060,14
52441,14
110839,7
33097,14
127905,0
55302,14
133049,4
111019,14
63493,14
65380,24
20387,14
138426,14
132653,4
91210,14
35150,14
2303,19
86149,14
127477,34
26761,14
93562,14
141024,20
6732,14
114562,14
142395,23
23097,14
35784,7
1394,14
96773,14
145638,14
140884,24
68518,14
58814,7
143909,1
137091,24
122257,14
34655,14
106877,14
124278,14
89510,14
31249,14
72670,14
93365,7
64771,26
120238,19
40346,15
101229,7
116686,14
3563,7
38780,14
67828,14
130686,0
104572,14
82633,14
135854,14
130535,26
128957,14
94740,14
109651,26
45089,15
44451,14
87716,14
117091,14
123467,24
141370,14
87598,26
21313,14
50419,14
96556,18
79567,14
132801,14
90665,14
131441,14
101221,24
92171,19
143626,11
116622,14
118612,14
131053,24
67755,26
61356,1
6237,14
103140,24
79456,7
114943,14
139069,23
11005,26
9468,19
4836,19
124713,1
101900,14
85722,14
121976,14
51395,14
34775,14
30010,14
33264,14
88968,14
26521,14
2013,14
14495,14
49872,14
93614,15
6096,14
52105,33
115645,14
141752,10
86120,14
139895,4
117469,14
108000,14
67109,14
66146,14
124105,14
19482,14
8584,14
8105,14
131682,14
139687,14
2286,1
134585,20
52096,24
23103,1
110273,14
93013,14
85527,14
30929,14
144715,28
118100,31
118967,14
62028,15
47921,14
6061,14
86020,7
8463,14
68482,14
14385,14
61261,14
137628,0
84344,14
138210,7
90646,14
14795,14
122154,15
1363,14
138170,20
42970,14
107725,14
9202,14
21961,19
27032,7
114226,14
137193,14
126147,0
107387,7
113557,7
35721,14
127376,14
29018,14
108300,14
53856,19
98883,14
32450,14
45503,14
96540,14
12457,14
132477,1
47569,14
77791,15
28294,14
77655,18
14666,14
103614,14
144309,14
133842,14
129982,11
37704,14
10318,14
77968,14
3694,14
109793,14
145033,14
45022,14
90226,14
96050,14
7799,14
21388,14
54326,33
43895,24
119120,7
7297,1
83984,14
7554,14
7576,14
118036,14
46800,26
55442,14
143489,34
74479,14
26256,26
107857,7
90058,14
64028,19
114037,14
85920,14
6239,14
50141,14
68653,14
26115,14
41078,14
16663,14
122924,14
61630,14
87864,14
77645,14
129819,4
37141,14
137774,34
126183,0
29516,14
101439,14
35936,7
107274,14
147439,14
23818,19
138545,20
100927,14
70436,14
100961,14
87654,14
101245,14
90907,14
138173,14
110702,7
30123,14
53335,24
133445,14
87003,14
113206,14
77641,14
48903,14
97913,26
130068,1
107498,14
42309,14
88376,24
83327,26
30488,14
4989,14
31114,19
107046,15
108476,24
125840,14
139291,14
36445,14
8728,14
89155,14
38841,14
33154,26
133473,14
81773,14
98521,14
16079,14
32650,7
35253,14
111728,24
5846,19
12362,14
95722,19
82798,33
83905,24
13962,14
127350,14
145891,26
70630,14
119891,14
134802,20
115155,14
92207,26
141125,4
77613,14
20260,14
7524,15
82504,14
72132,14
112550,26
65328,14
139983,4
105434,31
103787,14
71770,14
48905,14
124807,14
1410,24
32235,14
88463,14
14685,14
139400,20
37639,14
17255,14
44113,14
74055,14
139292,34
93794,14
63672,26
100496,14
104673,14
64152,14
119577,14
121599,14
3613,24
119300,14
27411,14
28664,14
2403,14
36685,19
125947,7
88600,26
118315,14
121173,15
53262,14
21559,26
38252,14
64423,14
131974,27
49541,1
146951,34
141865,26
18178,14
117423,26
18576,14
74305,24
43405,14
138183,4
79217,31
76061,14
22880,1
65058,14
132746,14
68077,14
68944,7
12390,14
144188,0
20828,33
90629,14
9156,14
100728,14
5784,14
14317,24
8340,14
71844,14
142469,14
5262,7
70022,14
34661,14
36543,14
119297,14
70265,31
129333,14
134349,24
54336,33
19007,14
90712,14
97591,14
27060,26
99940,14
61664,14
15309,14
123629,24
92734,1
56112,14
115602,7
40395,14
144700,14
27874,14
41848,15
117543,14
16021,14
130077,0
47896,14
79007,14
103950,7
55148,31
50203,14
16241,24
123947,26
33465,14
123433,14
65855,24
15226,14
20733,14
54459,14
78742,19
35826,14
110954,14
57776,14
87614,14
87911,14
77654,14
2920,14
57877,14
98599,14
60789,14
25636,2
105340,24
44293,14
70870,24
122978,14
63828,14
143867,14
60003,14
39686,14
126712,14
25576,14
35561,7
131199,14
8228,26
43926,14
123642,31
78278,31
78821,14
130891,14
128513,28
113025,14
45126,24
108129,14
104631,14
104442,14
136563,14
5246,24
33858,19
74799,19
104232,15
90132,14
50971,7
125367,14
124909,24
146235,24
96937,14
42271,14
144798,11
60427,14
115731,19
9872,14
22565,14
103972,7
51973,14
125610,14
67555,14
99710,14
44852,14
129798,23
9002,14
30415,14
120665,14
135899,4
127949,14
63285,14
93973,19
67082,14
122218,14
76140,14
3148,14
131461,28
10528,14
93589,14
68231,14
52372,14
5457,1
95052,14
37272,26
14364,14
45396,24
6540,14
14917,26
82674,14
69756,26
129656,14
140123,15
80129,14
8587,14
63531,14
10399,14
11219,14
80345,14
135860,14
88187,24
37419,26
61856,15
7714,14
132947,4
46093,14
7805,14
20805,14
6959,14
137463,14
46910,14
60783,14
15737,14
27738,14
130877,14
146340,14
7094,14
142886,14
40931,14
123813,14
57602,7
61759,33
38679,14
38030,14
126845,14
27133,14
117346,7
94534,14
102676,19
85613,14
116243,14
62682,14
24328,15
50736,14
708,14
83497,24
83148,7
86645,14
42811,14
35086,14
55821,19
48791,26
51392,14
80307,14
85348,24
128190,14
7083,14
29458,14
142197,26
118987,19
86773,14
36813,14
9374,19
54095,14
81037,14
80434,14
41530,14
103514,14
98086,14
61557,19
61728,7
36076,14
37700,14
60221,26
17305,14
113811,19
111463,14
73889,14
12042,14
26001,14
140330,14
135451,0
57111,7
88543,14
20813,12
65848,14
55880,14
140460,34
86451,14
113269,14
133825,24
116852,14
134249,20
146803,14
136240,4
82825,14
91799,14
12579,26
73650,14
40693,14
145131,24
41219,14
34947,7
16230,14
146089,14
83554,14
99082,7
109385,14
114445,26
64831,14
61644,14
107162,31
32627,19
26006,14
110279,7
100512,14
101737,14
2773,26
14788,14
48202,14
71988,14
136836,1
40102,24
30490,24
30568,14
33720,15
6557,26
36189,19
117514,14
29533,14
145475,14
6953,14
55599,14
64731,14
29744,14
116834,19
92569,14
78702,14
29324,14
20135,14
141435,4
88802,14
10467,14
145190,14
112505,14
101778,24
142370,14
132253,4
3490,14
93750,14
131082,20
81332,19
36853,14
98012,14
26343,7
53455,1
44261,1
84655,14
127298,20
70245,15
115447,14
145767,14
129417,14
135915,34
145320,1
36894,14
130201,14
2003,14
69927,14
18482,14
36017,7
75419,14
12407,14
110185,1
97784,14
12461,14
34209,15
137799,14
99598,24
134287,34
22111,14
11034,14
58399,14
80708,14
18463,7
42955,7
56406,24
59131,14
52350,7
29787,24
56516,7
55600,14
39610,14
97733,14
144678,14
75017,14
24229,14
22816,14
27729,14
39590,14
10966,7
89573,14
14005,14
26854,14
37466,14
82418,14
36257,14
119575,14
120374,14
145740,11
86863,14
78428,7
122149,14
133252,11
16659,14
15495,7
121631,14
82587,14
137163,0
111370,14
84939,14
30336,14
8267,14
87622,1
136806,4
38038,14
63945,14
96055,14
136560,10
61215,24
36156,14
20871,24
94621,14
121427,14
120184,14
133060,34
120499,24
55046,14
33975,14
138520,34
55158,15
104990,14
24442,14
36181,14
75038,14
59514,14
75183,14
104769,14
133070,14
130453,14
38209,14
124203,14
32379,14
136081,4
140321,34
128974,24
125136,15
81439,7
128954,14
14559,14
79083,19
130934,19
97906,7
2792,14
110419,14
72435,24
6176,19
106566,14
83290,33
74623,14
44639,14
137080,11
66525,14
126889,27
16268,19
103601,7
33081,14
131609,0
49698,14
51638,14
50334,14
45259,14
98055,14
57835,14
63160,33
27807,14
77188,14
107575,14
42587,14
63510,24
94964,14
81762,14
79400,14
33180,14
5345,14
11844,14
91113,19
17297,24
135209,0
139054,14
5215,14
42977,14
133914,26
61152,14
70573,24
46281,14
330,19
113372,14
60477,14
134227,28
110865,14
46584,26
91064,14
94243,26
67970,14
30252,14
117576,14
136995,34
32538,14
57047,14
58462,14
123283,26
19284,7
88912,14
3756,14
53404,14
114065,14
5865,14
8403,14
8053,14
6920,7
81556,14
41043,14
135304,11
124266,14
34753,26
79701,14
117666,14
133801,14
94350,15
67580,7
99760,2
65940,14
